ico,name,address,nace,web,website,category
00177041,Škoda Auto a.s.,"tř. Václava Klementa 869, Mladá Boleslav II, 29301 Mladá Boleslav",,,https://www.skoda-auto.cz/,Automotive
29137624,MND Energie a.s.,"Evropská 866/71, Vokovice, 16000 Praha 6",,,https://www.mnd.cz/,Neznámá
45317054,"Komerční banka, a.s.","Na příkopě 969/33, Staré Město, 11000 Praha 1",,,https://www.kb.cz/cs/obcane,Neznámá
25148290,"Factoring KB, a.s.","náměstí Junkových 2772/1, Stodůlky, 15500 Praha 5",,,https://www.factoringkb.cz/en,Konzultace a poradenství
26764652,ESSOX s.r.o.,"F. A. Gerstnera č.ev. 52, České Budějovice 7, 37001 České Budějovice",,,https://www.essox.cz/,Konzultace a poradenství
45317054,"Komerční banka, a.s.","Na příkopě 969/33, Staré Město, 11000 Praha 1",,,https://www.kb.cz/cs/obcane,Neznámá
